1.945,2.925,4.445,3.695,5.325,55.395,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.945,2.955,4.505,3.745,5.405,55.795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.955,3.185,4.595,3.755,5.435,55.795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.075,3.205,4.645,3.865,5.555,55.855,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.265,3.315,4.665,3.985,5.645,55.915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.285,3.335,4.665,4.035,5.675,56.695,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.305,3.345,4.695,4.195,5.685,57.195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.305,3.395,4.735,4.195,5.765,59.135,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.335,3.485,4.745,4.225,5.885,59.335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.355,3.535,4.805,4.245,6.085,59.535,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.395,3.545,4.815,4.455,6.095,66.895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.615,3.555,4.885,4.515,6.105,67.975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.715,3.615,4.935,4.595,6.115,68.445,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.725,3.625,4.945,4.625,6.125,68.745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.745,3.865,5.225,4.625,6.375,69.815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.795,3.915,5.235,4.685,6.395,71.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.835,3.945,5.295,4.785,6.405,71.185,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.865,3.955,5.305,4.835,6.515,71.825,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.915,3.955,5.465,4.905,6.635,72.295,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.925,3.975,5.495,5.085,6.755,72.915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.975,4.025,5.565,5.105,6.795,73.265,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.985,4.125,5.615,5.105,6.885,73.345,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.025,4.165,5.625,5.365,7.035,73.465,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.175,4.215,5.645,5.365,7.235,73.815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.205,4.235,5.735,5.425,7.245,74.325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.225,4.235,5.825,5.485,7.295,74.555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.235,4.305,6.155,5.655,7.315,74.615,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.245,4.425,6.185,5.765,7.505,74.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.255,4.465,6.245,5.785,7.505,75.325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.275,4.475,6.545,5.855,7.665,75.435,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
